,id,airport_ref,airport_ident,type,description,frequency_mhz
0,70518,6528,00CA,CTAF,CTAF,122.9
1,307581,6589,01FL,ARCAL,,122.9
2,75239,6589,01FL,CTAF,CEDAR KNOLL TRAFFIC,122.8
3,60191,6756,04CA,CTAF,CTAF,122.9
4,59287,6779,04MS,UNIC,UNICOM,122.8
5,60682,6784,04NV,UNIC,UNICOM,123.0
6,60091,6812,05CL,CTAF,CTAF,122.9
7,63835,6853,05UT,UNIC,UNICOM,122.8
8,70676,6868,06FA,APP,PALM BEACH APP,124.6
9,70677,6868,06FA,GND,GND,121.65
10,70678,6868,06FA,TWR,TWR,120.4
11,65868,6887,06MO,CTAF,CTAF,122.9
12,71176,6924,07FA,UNIC,UNICOM,122.7
13,66637,6943,07MT,CNTR,SALT LAKE CITY CNTR,126.85
14,69383,6954,07TE,CNTR,HOUSTON CNTR,126.625
15,61673,7008,08TE,UNIC,UNICOM,122.8
16,61013,7019,09CL,CTAF,CTAF,122.9
17,59566,7021,09FA,UNIC,UNICOM,122.8
18,68176,7054,09TS,CNTR,ALBUQUERQUE CNTR,132.65
19,59735,7094,0AZ2,UNIC,UNICOM,122.95
20,328741,7102,0C2,CTAF,,122.9
21,62825,7116,0CA9,CTAF,CTAF,122.9
22,59296,7213,0ID2,ARTC,SALT LAKE CITY CNTR,128.35
23,60367,7542,0TE4,UNIC,CTAF/UNICOM,122.8
24,59580,7543,0TE5,CNTR,HOUSTON CNTR,126.625
25,59437,7545,0TE7,UNIC,UNICOM,122.8
26,67677,7569,0TX1,UNIC,UNICOM,123.05
27,59357,7712,11II,CNTR,INDIANAPOLIS CNTR,134.85
28,59358,7712,11II,CTAF,CTAF,126.2
31,71354,7781,12NC,APP,CHERRY POINT APP,119.75
32,69316,7789,12OK,UNIC,UNICOM,123.0
33,70478,7838,13NC,APP,CHERRY POINT APP,119.35
34,333203,7838,13NC,CTAF,,322.1
35,70367,7898,14NC,A/D,CHERRY POINT APP,119.35
36,66604,7917,14TS,CNTR,HOUSTON CNTR,126.625
37,59174,7928,15AR,UNIC,RDO CTL,122.725
38,68311,7934,15FL,UNIC,UNICOM,123.0
39,60025,8028,16X,CNTR,FORT WORTH CNTR,127.45
40,70821,8082,18AZ,UNIC,UNICOM,122.975
41,67241,8117,18TA,CNTR,HOUSTON CNTR,126.625
42,62339,8118,18TE,UNIC,UNICOM,122.8
43,61636,8205,1AZ0,UNIC,UNICOM,122.725
44,67423,8222,1CA1,CTAF,CTAF,122.9
45,59235,8233,1CD2,APP,DENVER APP,119.3
46,59171,8297,1GA0,UNIC,UNICOM,122.725
47,70225,8486,1MS8,APP,MERIDIAN APP,31.48
48,298625,8732,1WA6,CTAF,Fall City Traffic,122.9
49,59128,8769,1XS8,CNTR,HOUSTON CNTR,126.625
50,70996,8787,20GA,MULT,MULT,122.9
51,63036,8924,22XS,A/G,TWR,143.35
52,63037,8924,22XS,ATIS,ATIS,118.8
53,63038,8924,22XS,INFO,RNG CTL,30.45
55,63040,8924,22XS,OPS,GRAY OPS,38.7
56,63041,8924,22XS,PMSV,PMSV GRAY METRO,41.2
57,63042,8924,22XS,TWR,GRAY TWR,120.75
58,60377,8982,23XS,A/G,LONGHORN AUX TWR,143.35
59,60378,8982,23XS,ATIS,ATIS,118.8
60,60379,8982,23XS,INFO,RNG CTL,30.45
62,60381,8982,23XS,OPS,GRAY OPS,38.7
63,60382,8982,23XS,PMSV,PMSV GRAY METRO,41.2
64,60383,8982,23XS,TWR,GRAY TWR,120.75
65,67720,8990,24CL,CTAF,CTAF,122.9
66,60694,9068,25NC,MULT,MULTICOM,122.9
67,60360,9078,25TA,CNTR,HOUSTON CNTR,126.625
68,64363,9080,25TS,CNTR,ALBUQUERQUE CNTR,132.65
69,61802,9138,27AZ,CTAF,CTAF,122.9
70,59707,9191,28CL,CTAF,CTAF,122.8
71,63365,9223,28TA,CNTR,HOUSTON CNTR,126.625
72,63366,9223,28TA,UNIC,UNICOM,122.8
73,69599,9236,29AZ,UNIC,UNICOM,122.8
74,64791,9277,29TX,CNTR,FORT WORTH CNTR,127.45
75,62214,9354,2CL9,CTAF,CTAF,122.9
76,71454,14060,2CN4,CTAF,CTAF,122.9
77,333743,9368,2D7,APP/DEP,CLEVELAND APP/DEP,125.5
78,333742,9368,2D7,CTAF,CTAF/UNICOM,122.8
79,62263,20770,2IG4,UNIC,UNICOM,122.8
80,60042,9696,2OR1,UNIC,UNICOM,122.8
81,67219,9772,2TA6,CNTR,FORT WORTH CNTR,127.45
82,63137,9774,2TA8,CNTR,HOUSTON CNTR,126.625
83,71475,9784,2TE8,CNTR,HOUSTON CNTR,126.625
84,70329,9809,2TX3,CNTR,HOUSTON CNTR,126.625
85,60402,9810,2TX4,CNTR,HOUSTON CNTR,126.625
86,69995,9835,2VG2,UNIC,UNICOM,122.725
87,60635,9880,2XA0,CNTR,FORT WORTH CNTR,127.45
88,60636,9880,2XA0,CTAF,CTAF,122.9
89,70047,9891,2XS3,CNTR,FORT WORTH CNTR,127.45
90,67073,9893,2XS5,CNTR,HOUSTON CNTR,126.625
91,61432,9985,31VA,UNIC,UNICOM,122.75
92,68592,10080,34AZ,UNIC,UNICOM,122.8
93,67703,10175,36CA,CTAF,CTAF,122.9
94,71005,10177,36CN,CTAF,CTAF,122.9
95,61623,10214,36WI,CTAF,CTAF,122.9
97,71572,10265,38AZ,AWOS,AWOS 2,119.225
98,71573,10265,38AZ,CTAF,CTAF,122.8
99,58969,10268,38CA,UNIC,UNICOM,122.8
100,59333,10312,38XS,UNIC,UNICOM,122.8
101,63196,18674,3B3,CTAF,CTAF,122.9
102,59676,10626,3MO4,CTAF,CTAF,122.9
103,333773,10702,3OH0,UNICOM,,122.9
104,60299,10788,3TA0,CNTR,HOUSTON CNTR,126.625
105,68035,10793,3TA5,CNTR,HOUSTON CNTR,126.625
106,69452,10794,3TA6,CNTR,HOUSTON CNTR,126.625
107,58979,10820,3TS1,CNTR,HOUSTON CNTR,126.625
108,60232,10899,3XS8,CNTR,HOUSTON CNTR,126.625
109,61823,10997,42KY,UNIC,UNICOM,122.8
110,58962,11153,46CN,UNIC,UNICOM,123.0
111,71311,18795,48Y,A/D,MINNEAPOLIS CNTR,134.75
112,71312,18795,48Y,UNIC,UNICOM,122.8
113,58768,11326,4AK6,CTAF,CTAF,122.9
114,66205,11355,4AZ7,FSS,PRESCOTT RDO,122.3
115,66206,11355,4AZ7,UNIC,CTAF/UNICOM,122.8
116,60225,20622,4PA0,A/D,HARRISBURG APP/DEP,126.45
117,60226,20622,4PA0,RDO,WILLIAMSPORT RDO,114.6
118,60227,20622,4PA0,UNIC,CTAF/UNICOM,123.0
119,61753,11711,4TA0,FSS,MONTGOMERY CO RDO,122.2
120,63351,11716,4TA6,CNTR,HOUSTON CNTR,126.625
121,63575,11720,4TE0,CNTR,FORT WORTH CNTR,127.45
122,63576,11720,4TE0,UNIC,UNICOM,122.75
123,68528,11729,4TE9,CNTR,HOUSTON CNTR,126.625
124,69080,11747,4TS8,CNTR,HOUSTON CNTR,126.625
125,60401,12073,55XS,UNIC,UNICOM,122.7
126,70321,12117,57AZ,UNIC,UNICOM,122.9
127,67344,12124,57FA,UNIC,UNICOM,122.8
128,62091,12162,58CL,CTAF,CTAF,122.9
129,59619,12296,5CA7,CTAF,CTAF,122.9
130,58934,18909,5K2,UNIC,CTAF/UNICOM,122.8
131,59436,18493,5KY4,CTAF,CTAF,122.9
132,59431,18777,5KY7,UNIC,CTAF/UNICOM,122.8
133,63269,12466,5LS9,FSS,DE RIDDER RDO,122.2
135,69474,12685,5TS1,CNTR,HOUSTON CNTR,126.625
136,58867,12798,60TA,UNIC,UNICOM,122.975
137,66875,12799,60TE,CNTR,HOUSTON CNTR,126.625
138,66876,12799,60TE,UNIC,UNICOM,122.75
139,65169,12929,63XS,CNTR,HOUSTON CNTR,126.625
140,69711,13056,67CA,CTAF,CTAF,122.9
141,58903,13097,68CA,CTAF,CTAF,122.9
142,71473,13098,68CL,CTAF,CTAF,122.9
143,71474,13098,68CL,UNIC,UNICOM,123.05
144,70749,13128,68TS,UNIC,UNICOM,122.7
145,70763,13168,69TX,CNTR,HOUSTON CNTR,126.625
146,60122,18984,6F1,CTAF,CTAF,122.9
147,63932,13415,6NC1,UNIC,UNICOM,122.7
148,60105,13549,6TE6,CNTR,FORT WORTH CNTR,127.45
149,70826,13716,72CL,CTAF,CTAF,122.9
150,66443,13729,72MI,UNIC,UNICOM,122.75
151,62062,13745,72TA,CNTR,HOUSTON CNTR,126.625
152,64741,13746,72TE,CNTR,HOUSTON CNTR,126.625
153,65355,13826,74TE,CNTR,FORT WORTH CNTR,127.45
154,65356,13826,74TE,UNIC,UNICOM,122.725
155,59116,13842,75FL,UNIC,UNICOM,122.8
156,63878,13871,75TA,CNTR,FORT WORTH CNTR,127.45
157,70679,13874,75TX,CNTR,HOUSTON CNTR,126.625
158,62591,13914,76TA,CNTR,ALBUQUERQUE CNTR,132.65
159,60355,13959,77XS,CNTR,HOUSTON CNTR,126.625
160,309336,14055,7B3,CTAF,Hampton Traffic,122.8
161,59275,14062,7CA2,CTAF,CTAF,122.95
163,68118,14110,7FL6,CLD,DAYTONA,121.725
164,68119,14110,7FL6,UNIC,UNICOM,122.975
165,325419,14159,7IN8,CTAF,,122.9
166,59919,14270,7NC2,MULT,MULT,122.9
167,68253,14352,7PA3,INFO,ACTIVATE LIRL,129.9
168,307057,14377,7S3,CTAF,Twin Oaks Traffic,123.05
169,69987,14393,7TE1,CNTR,HOUSTON CNTR,126.625
170,60310,14394,7TE2,CNTR,HOUSTON CNTR,126.625
171,59274,14398,7TE6,CNTR,HOUSTON CNTR,126.625
172,64210,14399,7TE7,CNTR,HOUSTON CNTR,126.625
173,64211,14399,7TE7,UNIC,UNICOM,122.8
174,67693,14400,7TE8,CNTR,FORT WORTH CNTR,127.45
175,75265,45974,7TN5,UNICOM,,122.75
176,66387,14422,7TX0,CNTR,FORT WORTH CNTR,127.45
177,66829,14566,82IS,UNIC,UNICOM,122.9
178,60394,14625,83TX,CNTR,HOUSTON CNTR,126.625
179,64949,14704,85TX,CNTR,HOUSTON CNTR,126.625
180,59716,14761,87MO,CTAF,CTAF,122.9
181,67473,19113,89NY,UNIC,CTAF/UNICOM,122.8
182,60106,14844,89TS,CNTR,HOUSTON CNTR,126.625
183,62238,14879,8CA8,CTAF,CTAF,122.9
184,61344,15169,8TA0,CNTR,HOUSTON CNTR,126.625
185,69843,15185,8TE6,CNTR,ALBUQUERQUE CNTR,132.65
186,60668,15208,8TS9,CNTR,HOUSTON CNTR,126.625
187,59188,15267,8XS8,CNTR,FORT WORTH CNTR,127.45
188,62544,15330,91TS,CNTR,HOUSTON CNTR,126.625
189,65981,15331,91TX,CNTR,HOUSTON CNTR,126.625
190,61740,15340,92CA,CTAF,CTAF,122.9
191,61803,15375,92XS,CNTR,HOUSTON CNTR,126.625
192,64939,15438,94TX,CNTR,FORT WORTH CNTR,127.45
193,60366,15472,95TX,CNTR,HOUSTON CNTR,126.625
194,75215,15521,97FL,CTAF,Loves Landing,122.9
195,62765,15600,99CL,CTAF,CTAF,122.9
196,70791,15667,9CA7,CTAF,CTAF,122.9
197,66174,15672,9CL2,CTAF,CTAF,122.9
198,65124,15841,9NC0,UNIC,CTAF/UNICOM,122.8
199,69990,15900,9OI5,UNIC,UNICOM,122.8
200,65957,15956,9SD9,UNIC,UNICOM,122.8
201,62738,15959,9TA2,CNTR,ALBUQUERQUE CNTR,132.65
202,320654,15969,9TE2,UNICOM,,123.07
203,67953,15989,9TS3,CNTR,HOUSTON CNTR,126.625
206,335733,335716,ACFC,Woodlands Adviso,Woodlands Traffic,131.35
207,49555,3,AGGH,AFIS,INFO,118.1
208,49556,3,AGGH,INFO,INFO,342.5
209,49557,4,AGGM,AFIS,INFO,118.1
210,49558,4,AGGM,RDO,RDO,118.1
211,63437,16204,AL12,MULT,MULTICOM,122.85
212,75264,45229,AMC,CTAF,Tower not yet operational,122.8
213,55887,8,ANYN,A/G,FIC,118.1
214,300153,38710,AR-0035,COM,Allen Traffic,123.5
215,328118,38713,AR-0038,CTAF,"""Alvear""",123.5
216,319343,38754,AR-0079,AFIS,,123.0
217,324360,38812,AR-0137,COM,El Pájaro Traffic,123.2
218,299482,38833,AR-0158,Non controlled,Some aircrafts without radio operate here.,123.5
219,327916,38980,AR-0305,CTAF,,123.5
220,324363,42821,AR-0399,COM,Rodriguez Traffic,123.2
221,298860,42884,AR-0462,A/G,,118.9
222,299296,38204,AU-0005,CTAF,Myrup Traffic,126.7
223,311844,38213,AU-0014,ctaf,Abrolhos traffic,127.1
224,298939,38217,AU-0018,CTAF,,126.7
225,311846,45164,AU-0038,ctaf,Abrolhos traffic,127.1
226,75368,46460,AU-0044,CTAF,,126.7
227,75369,46463,AU-0045,CTAF,,119.1
228,298433,298432,AU-0050,CTAF,,126.7
229,299300,299298,AU-0054,CTAF,CTAF,126.7
230,299299,299298,AU-0054,FIA,Melbourne Centre,122.4
231,56366,53,AYBK,RDO,LAE RDO,127.1
232,56362,55,AYDU,FSS,MORESBY CNTR,124.9
233,56346,56,AYGA,TWR,TWR,118.7
234,56345,57,AYGN,FSS,MORESBY CNTR,124.1
235,56352,59,AYHK,FSS,NADZAB CNTR,127.1
236,56344,60,AYKM,FSS,MORESBY,120.9
237,56353,61,AYKV,FSS,LAE,127.1
238,56357,62,AYMD,ATIS,ATIS,127.8
239,56358,62,AYMD,FSS,MADANG CNTR,120.1
240,56359,62,AYMD,TWR,TWR,118.1
241,56360,63,AYMH,ATIS,ATIS,128.4
242,56361,63,AYMH,TWR,HAGEN TWR,120.5
243,56338,65,AYMO,AWOS,AWIS,129.35
244,56339,65,AYMO,FSS,MADANG,120.1
245,56340,66,AYNZ,APP,APP,118.6
246,56341,66,AYNZ,ATIS,ATIS,128.6
247,56342,66,AYNZ,RDO,LAE RDO,120.7
248,56343,66,AYNZ,TWR,TWR,121.7
249,56348,67,AYPY,APP,JACKSONS APP,125.8
250,56349,67,AYPY,ATIS,ATIS,117.0
251,56350,67,AYPY,GND,JACKSONS GND,121.7
252,56351,67,AYPY,TWR,JACKSONS TWR,118.1
253,56363,68,AYTK,FSS,LAE RDO,127.1
255,56365,68,AYTK,TWR,TWR,118.2
256,56347,69,AYVN,FSS,MADANG FIS,126.7
257,56354,71,AYWK,ATIS,ATIS,128.2
258,56355,71,AYWK,CTAF,WEWAK TRAFFIC,121.7
259,56356,71,AYWK,FSS,MADANG CNTR,126.7
260,67786,16469,AZ82,AWOS,AWOS 3,122.9
261,67787,16469,AZ82,UNIC,UNICOM,122.9
262,309235,43884,BA-0001,Ciljuge Info,Ciljuge Info,123.6
263,52698,113,BGBW,AFIS,AFIS,119.1
264,72007,30839,BGCO,AFIS,AFIS,118.1
265,52697,114,BGGH,AFIS,AFIS,119.1
266,299102,35294,BGNN,HIS,NANORTALIK HIS,118.1
267,322985,44072,BGNO,ATS,Station Nord,118.1
268,322986,44072,BGNO,ATS,Station Nord,267.3
269,299103,35295,BGNS,HIS,NARSAQ HIS,118.1
270,329669,32004,BGQQ,AFIS,Aerodrome Flight Information Service,118.1
271,52699,115,BGSF,A/D,APP/DEP,126.2
272,52700,115,BGSF,RDO,RDO,121.3
273,52701,115,BGSF,TWR,TWR,118.3
274,335264,31700,BGSS,AFIS,SISIMIUT AFIS,118.1
275,52702,116,BGTL,A/G,EMERG CW FREQUENCY,836.4
276,52703,116,BGTL,APP,APP,134.1
277,52704,116,BGTL,CLD,CLNC DEL,119.9
278,52705,116,BGTL,GND,GND,119.9
279,52706,116,BGTL,OPS,BASE OPS,131.1
280,52707,116,BGTL,TWR,TWR,126.2
281,331242,31713,BGUK,AFIS,Upernavik AFIS,118.1
282,53569,117,BIAR,ACC,REYKJAVIK ACC,119.7
283,53570,117,BIAR,RDR,RADAR,118.7
284,53571,117,BIAR,TWR,TWR,118.2
285,53581,118,BIBD,ACC,REYKJAVIK ACC,119.7
286,53582,118,BIBD,AFIS,INFO,119.1
287,53574,119,BIEG,ACC,REYKJAVIK ACC,119.7
288,53575,119,BIEG,AFIS,RDO,119.4
289,53579,120,BIHN,ACC,REYKJAVIK CON,119.7
290,53580,120,BIHN,AFIS,INFO,118.1
291,53583,121,BIHU,ACC,REYKJAVIK ACC,119.7
292,53584,121,BIHU,AFIS,INFO,118.1
293,53572,122,BIIS,ACC,REYKJAVIK ACC,119.7
294,53573,122,BIIS,AFIS,INFO,118.8
295,53561,123,BIKF,A/G,AIR GND,131.9
296,53562,123,BIKF,APP,APP,119.3
297,53563,123,BIKF,ATIS,ATIS,128.3
298,53564,123,BIKF,DEP,DEP,119.3
299,53565,123,BIKF,GND,GND,121.9
300,53566,123,BIKF,OPS,BASE OPS,129.0
301,53567,123,BIKF,PMSV,PMSV  METRO,125.0
302,53568,123,BIKF,TWR,TWR,118.3
303,75311,30738,BIMS,afis,Tungubakki,118.2
304,75312,30738,BIMS,TWR: BIRK,Reykjavik Tower,118.0
305,53587,124,BIPA,ACC,REYKJAVIK ACC,119.7
306,53588,124,BIPA,AFIS,RDO,119.1
307,53556,125,BIRK,A/D,APP/DEP,119.0
308,53557,125,BIRK,ATIS,ATIS,128.1
309,53558,125,BIRK,GND,GND,121.7
310,53559,125,BIRK,RDO,RDO,126.55
311,53560,125,BIRK,TWR,TWR,118.0
312,309541,30743,BISA,TRFC,Trafic,118.1
313,53585,126,BISI,ACC,REYKJAVIK ACC,119.7
314,53586,126,BISI,RDO,RDO,118.1
315,309536,30751,BISS,TRFC,Traffic,119.9
316,53554,127,BITN,ACC,REYKJAVIK ACC,119.7
317,53555,127,BITN,AFIS,INFO,118.1
318,53576,128,BIVM,ACC,REYKJAVIK ACC,119.7
319,53577,128,BIVM,DEP,REYKJAVIK DEP,119.0
320,53578,128,BIVM,TWR,TWR,118.5
321,71829,4614,BKPR,APP,APP,118.775
322,71830,4614,BKPR,GND,GND,118.0
323,71831,4614,BKPR,RMP,RAMP OPR,136.8
324,71832,4614,BKPR,TWR,TWR,120.125
325,302091,41087,CA-0088,UNIC,Traffic,123.2
326,75491,41098,CA-0159,ATF,"Pontiac Traffic, 5nm below 3300 ASL",123.2
327,75492,41098,CA-0159,VFR Advisory,Ottawa Terminal,127.7
328,301854,39950,CA-0304,MF,,123.2
329,75407,44455,CA-0307,CTAF,Hawkefield Traffic,123.2
330,75487,45043,CA-0380,CTAF,Great Lakes,123.2
331,299261,40039,CA-0393,CTAF,Upper Kent Traffic,122.8
332,75409,46495,CA-0430,CTAF,,123.2
333,75472,46580,CA-0444,ATF,,122.8
334,311013,46642,CA-0454,CTAF,,122.8
335,75565,46648,CA-0456,CTAF,,123.4
336,298582,298348,CA-0457,RDO,MADELEINE RDO,123.15
337,299848,298392,CA-0463,CTAF,,123.2
338,299846,298393,CA-0464,CTAF,,123.2
339,299273,299272,CA-0497,CTAF,,122.8
340,317062,300400,CA-0508,CTAF,,123.0
341,320038,307238,CA-0516,ATF,"traffic, 5NM 3800 ASL",123.2
342,309369,307323,CA-0517,ATF,Hastings Traffic,123.2
343,316871,308539,CA-0523,CPR1,,123.4
344,309842,309767,CA-0524,CTAF,,123.0
345,309277,309272,CA-0526,UNICOM,,122.9
346,311165,311164,CA-0534,CTAF,Lac William,123.2
347,311166,311164,CA-0534,Ground,Sol Lac William,122.9
348,300442,46513,CA-0772,ATF,"Shuswap Traffic, 5nm below 4200ASL",123.2
349,58952,16551,CA20,CTAF,CTAF,122.9
350,59673,16573,CA42,CTAF,CTAF,122.9
351,69894,16591,CA60,CTAF,CTAF,122.9
352,58972,16593,CA62,AAS,ROBERTS ADVSY SVC,41.5
354,65908,16604,CA73,CTAF,CTAF,122.9
355,58951,20291,CA92,UNIC,CTAF/UNICOM,122.8
356,332364,306929,CAA2,UNICOM,,122.75
357,49952,612,CAA8,ATF,ATF,123.2
358,49953,612,CAA8,RCO,PACIFIC RDO,126.7
359,50717,614,CAD4,ATF,ATF,123.2
360,49890,615,CAD5,ATF,ATF,123.2
361,312226,620,CAH3,ATF,,123.35
362,50481,621,CAH4,ATF,ATF,123.2
363,75249,622,CAJ2,ATF,Wiley Traffic,123.2
364,49878,623,CAJ3,UNIC,ATF/UNICOM,122.8
365,50751,624,CAJ4,ATF,ATF,122.8
366,49914,625,CAJ7,ATF,ATF,123.0
367,75457,627,CAK3,ATF,"Delta HeritageTraffic, 2nm below 1000ASL",123.3
368,311244,627,CAK3,ATIS,"Boundary Bay, 1-877-517-2847",125.5
369,75458,627,CAK3,TWR,"Boundary Bay Tower, above 1000ft",118.1
370,50879,629,CAL3,ATF,ATF,123.2
371,300222,631,CAM3,ATF,,122.8
372,75495,46598,CAM4,CTAF,,122.8
373,75496,46598,CAM4,CTAF,,122.8
374,50919,632,CAM5,ATF,ATF,123.2
375,50554,637,CAQ5,ATF,ATF,123.2
376,75516,46600,CAR5,CTAF,,123.4
377,314751,314749,Cark,CTAF(R),Cark Radio,129.9
378,50952,643,CAT4,ATF,ATF,122.8
379,50951,643,CAT4,CNTR,COMOX CNTR,123.7
380,50102,646,CAU3,RCO,PACIFIC RDO,126.7
381,50103,646,CAU3,UNIC,ATF/UNICOM,122.8
382,50923,647,CAU4,ATF,ATF,122.8
383,307217,45222,CAV6,ATF,Beausejour traffic,123.2
384,311584,311583,CAY5,ATF,"Sargeant Traffic, 5NM below 4000ASL",123.2
385,50339,657,CAZ5,ATF,ATF,123.2
386,75367,663,CBB9,ATF,Osoyoos Traffic,123.2
387,50601,664,CBBC,ATF,"Bella BellaTraffic,  5nm below 3200 ASL",122.8
388,50602,664,CBBC,FSS,Wag Fuel,131.05
389,311245,664,CBBC,RCO,"Pacific Radio, (FISE)",123.475
390,50603,664,CBBC,RCO,"Pacific Radio, bcst",126.7
391,75498,46602,CBF2,CTAF,,123.4
392,300071,684,CBG8,TWR,Prince George Tower,118.3
393,49898,687,CBJ4,ATF,ATF,123.2
394,75473,43877,CBN7,ATF,,122.8
395,50966,710,CBQ8,ATF,ATF,123.2
396,49932,711,CBR2,ATF,ATF,123.2
397,49938,717,CBS8,ATF,ATF,123.0
398,75512,723,CBU2,CTAF,,123.2
399,50897,737,CBX7,ATF,ATF,123.2
400,49896,741,CBZ9,ATF,ATF,122.8
401,299124,742,CCA3,CTAF,"Cable Head Traffic, 5nm below 3100",123.2
402,299125,742,CCA3,Departures,Moncton Centre,135.65
403,50830,747,CCC2,ATF,ATF,123.2
404,50001,751,CCE3,ATF,ATF,123.2
405,75374,46478,CCE6,ATF,Camden East Traffic,123.2
406,75513,754,CCF4,CTAF,,123.2
407,307583,756,CCG3,ATF,Weyman Traffic,123.2
408,50898,757,CCG4,GND,GND,121.8
409,50899,757,CCG4,UNIC,ATF/UNICOM,122.8
410,310508,300227,CCK5,CTAF,,123.0
411,49996,768,CCN2,ATF,ATF,123.2
412,299184,299183,ccn3,CTAF,,123.2
413,311592,311591,CCN4,ATF,"Conn Traffic, 5NM below 4700ASL",123.4
414,50224,769,CCP2,A/D,GANDER CNTR,132.1
415,50225,769,CCP2,ATF,ATF,123.2
416,50212,773,CCQ3,A/D,HALIFAX TRML,119.2
417,50213,773,CCQ3,UNIC,ATF/UNICOM,123.0
418,50451,774,CCR3,ATF,ATF,122.8
419,50894,779,CCS3,UNIC,ATF/UNICOM,122.8
420,50863,780,CCS4,ATF,ATF,123.2
421,332183,783,CCT2,Ctaf,COOKSTOWN TRAFFIC,123.5
422,50082,786,CCW3,A/D,GREENWOOD TRML,120.6
423,50083,786,CCW3,TWR,GREENWOOD TWR,119.5
424,50084,786,CCW3,UNIC,ATF/UNICOM,122.8
425,49909,787,CCW4,UNIC,ATF/UNICOM,122.8
426,50121,794,CCZ3,A/D,GANDER CNTR,132.1
427,50122,794,CCZ3,ATF,ATF,123.2
428,50253,799,CDA4,RCO,CHARLO RDO,123.45
429,50254,799,CDA4,UNIC,ATF/UNICOM,123.0
430,49934,800,CDA5,ATF,ATF,123.2
431,50977,809,CDH1,UNIC,ATF/UNICOM,123.35
432,50937,812,CDJ4,ATF,ATF,123.2
433,325215,320210,CDL8,UNICOM,,122.8
434,49887,818,CDT5,ATF,ATF,123.2
435,49888,821,CDU6,ATF,ATF,123.2
436,49926,822,CDU9,ATF,CATF,123.2
437,49889,823,CDV2,ATF,ATF,123.5
438,50364,827,CDY3,ATF,ATF,123.2
439,50363,827,CDY3,CNTR,GANDER CNTR,132.1
440,75450,829,CDY6,CTAF,,123.2
441,49893,830,CEA3,ATF,ATF,123.2
442,49892,830,CEA3,ATIS,ATIS,122.7
443,49950,831,CEA5,ATF,ATF,123.2
444,49933,832,CEA6,ATF,ATF,123.2
445,50214,834,CEB5,UNIC,ATF/UNICOM,122.8
446,50342,836,CEC4,ATF,ATF,123.2
447,50343,836,CEC4,RCO,EDMONTON RDO,123.55
448,50877,839,CED3,UNIC,ATF/UNICOM,122.8
449,50344,841,CED5,UNIC,ATF/UNICOM,122.8
450,311596,311595,CED8,ATF,"Eldorado Unicom, Ltd hrs, 3NM below 3000ASL",123.0
451,50694,844,CEE5,ATF,ATF,123.2
452,75497,46603,CEF2,CTAF,,123.4
453,50348,847,CEF3,ATF,ATF,123.2
454,49900,848,CEF4,UNIC,CTAF UNIC,122.9
455,50593,851,CEG3,UNIC,ATF/UNICOM,122.8
456,50589,852,CEG4,ATF,ATF/UNICOM,122.8
457,75476,855,CEH2,ATF,,123.4
458,50421,856,CEH3,UNIC,ATF/UNICOM,123.3
459,50417,857,CEH4,ATF,ATF,122.8
460,50965,858,CEH5,ATF,ATF,123.2
461,49880,859,CEH6,A/D,EDMONTON CNTR,133.45
462,49881,859,CEH6,RDO,EDMONTON RDO,126.7
463,49882,859,CEH6,UNIC,ATF/UNICOM,122.8
464,50381,862,CEJ3,UNIC,ATF/UNICOM,123.0
465,50071,863,CEJ4,UNIC,ATF/UNICOM,123.0
466,49884,865,CEJ6,ATF,ATF,123.2
467,299653,868,CEK6,ATF,Killam/Sedgewick Traffic,123.2
468,75499,46604,CEL3,CTAF,,123.0
469,50870,870,CEL4,ATF,ATF,123.2
470,50018,871,CEL5,ATF,ATF,123.2
471,50507,875,CEM4,UNIC,ATF,123.0
472,50446,876,CEM5,ATF,ATF,123.2
473,50976,878,CEN3,ATF,ATF,123.2
474,50583,879,CEN4,ATF,ATF,123.0
475,50340,880,CEN5,ATF,ATF,122.8
476,50341,880,CEN5,TWR,TWR,126.2
477,50058,883,CEP3,ATF,ATF,123.2
478,50869,888,CEQ3,ATF,ATF,122.8
479,308001,889,CEQ4,ATF,,122.8
480,50959,890,CEQ5,ATF,ATF,123.2
481,50470,891,CER2,ATF,ATF,123.2
482,50777,892,CER3,ATF,ATF/UNICOM,122.8
483,75449,893,CER4,CTAF,Mildred Lake Traffic,123.2
484,75500,46605,CES2,CTAF,,123.2
485,75321,895,CES3,ATF,St. Albert Traffic,123.2
486,50881,896,CES4,UNIC,ATF/UNICOM,122.8
487,75547,899,CET4,MF,Fort Simpson Airport Radio,122.2
488,75548,899,CET4,RCO,Arctic Radio,126.7
489,51058,901,CET9,ATF,ATF,123.2
490,50503,902,CEU2,ATF,ATF,123.2
491,50920,906,CEV3,UNIC,ATF/UNICOM,122.8
492,50076,908,CEV7,ATF,ATF,123.2
493,50375,910,CEW3,UNIC,ATF/UNICOM,122.8
494,308002,913,CEW9,ATF,,123.3
495,50088,914,CEX3,UNIC,ATF/UNICOM,123.5
496,50804,918,CEY3,ATF,ATF,123.2
497,307698,920,CEZ3,ATF,,123.2
498,50904,921,CEZ4,ATF,ATF,123.2
499,50041,931,CFB6,ATF,ATF,123.5
500,300066,931,CFB6,AWOS,780-862-7450,122.35
501,311268,934,CFC6,ATF,"Rockyford Traffic, 5nm below 5900ASL",123.2
